model,bin_low,bin_high,games,avg_pred,observed_home_win,calibration_gap,bin_brier,ece,model_games
Sujar Baseline,0.2,0.3,75,0.26711235250533816,0.3466666666666667,0.07955431416132852,0.2340800805068469,0.03691277288045172,1087
Sujar Baseline,0.3,0.4,138,0.3540821132399736,0.3115942028985507,-0.04248791034142285,0.2148631369626392,0.03691277288045172,1087
Sujar Baseline,0.4,0.5,217,0.45218507780745204,0.3870967741935484,-0.06508830361390366,0.24271558592575504,0.03691277288045172,1087
Sujar Baseline,0.5,0.6,241,0.5473549464576136,0.5643153526970954,0.016960406239481807,0.24614366934290163,0.03691277288045172,1087
Sujar Baseline,0.6,0.7,179,0.6506146432692493,0.6927374301675978,0.042122786898348474,0.21336464381357645,0.03691277288045172,1087
Sujar Baseline,0.7,0.8,207,0.739341105801045,0.7391304347826086,-0.00021067101843630365,0.1939525928636867,0.03691277288045172,1087
Sujar Baseline,0.8,0.9,30,0.8166976203905959,0.9,0.08330237960940412,0.09521185358095266,0.03691277288045172,1087
Core Sujar+,0.2,0.3,57,0.27380800664679145,0.3333333333333333,0.05952532668654187,0.2243557495093174,0.025635203723265148,1087
Core Sujar+,0.3,0.4,139,0.35745345743897144,0.34532374100719426,-0.012129716431777182,0.22610143024876575,0.025635203723265148,1087
Core Sujar+,0.4,0.5,244,0.44945698052105737,0.4344262295081967,-0.015030751012860666,0.24515631773998706,0.025635203723265148,1087
Core Sujar+,0.5,0.6,216,0.5489432974429278,0.5092592592592593,-0.0396840381836685,0.24597481473987873,0.025635203723265148,1087
Core Sujar+,0.6,0.7,222,0.6472175321901638,0.6621621621621622,0.014944629971998413,0.224128018988162,0.025635203723265148,1087
Core Sujar+,0.7,0.8,198,0.7417802900006735,0.7676767676767676,0.025896477676094154,0.17946638882627763,0.025635203723265148,1087
Core Sujar+,0.8,0.9,11,0.8089066987655807,1.0,0.19109330123441925,0.03656977553238046,0.025635203723265148,1087
Market,-0.001,0.1,1,0.08755760368663595,0.0,-0.08755760368663595,0.007666333963346006,0.026229874680122556,1087
Market,0.1,0.2,24,0.16483137202314757,0.16666666666666666,0.0018352946435190864,0.13614330384235068,0.026229874680122556,1087
Market,0.2,0.3,80,0.2524263365687545,0.25,-0.002426336568754517,0.18928895110634086,0.026229874680122556,1087
Market,0.3,0.4,147,0.35310437976664333,0.3333333333333333,-0.019771046433310013,0.22340698094799422,0.026229874680122556,1087
Market,0.4,0.5,183,0.44642168000467314,0.39344262295081966,-0.05297905705385347,0.23899910612049063,0.026229874680122556,1087
Market,0.5,0.6,202,0.5598408312006402,0.599009900990099,0.03916906978945878,0.23869084889038195,0.026229874680122556,1087
Market,0.6,0.7,205,0.6457207922989328,0.6341463414634146,-0.011574450835518113,0.2322660395843905,0.026229874680122556,1087
Market,0.7,0.8,166,0.7479703199921154,0.7590361445783133,0.01106582458619787,0.18424009070852856,0.026229874680122556,1087
Market,0.8,0.9,73,0.850285934376578,0.8904109589041096,0.04012502452753164,0.09628613128193023,0.026229874680122556,1087
Market,0.9,1.0,6,0.9110528800767552,1.0,0.08894711992324478,0.007985380191622971,0.026229874680122556,1087
Final Ensemble,0.1,0.2,1,0.19747085088752833,0.0,-0.19747085088752833,0.03899473695024445,0.04302491523621548,1087
Final Ensemble,0.2,0.3,60,0.2681093820316207,0.3,0.031890617968379276,0.20858454170821394,0.04302491523621548,1087
Final Ensemble,0.3,0.4,138,0.35715176148675476,0.2971014492753623,-0.060050312211392454,0.2119642475002216,0.04302491523621548,1087
Final Ensemble,0.4,0.5,240,0.4490602948301588,0.42916666666666664,-0.01989362816349216,0.2461467075303837,0.04302491523621548,1087
Final Ensemble,0.5,0.6,217,0.5500901922078493,0.5023041474654378,-0.04778604474241144,0.2514674286025697,0.04302491523621548,1087
Final Ensemble,0.6,0.7,217,0.6466745835549449,0.7096774193548387,0.06300283579989385,0.2131733639560147,0.04302491523621548,1087
Final Ensemble,0.7,0.8,187,0.7403488417320142,0.7593582887700535,0.019009447038039307,0.1820799691524164,0.04302491523621548,1087
Final Ensemble,0.8,0.9,27,0.814821947608442,0.9629629629629629,0.14814101535452096,0.05667787910541894,0.04302491523621548,1087
