rank,team,elo_plus,off_epa,def_epa_allowed,pass_epa,recent_win_pct,rank_change,movement,as_of
1,SEA,1659.0775575419148,0.05367913244394572,-0.16442334715546428,0.1585741329114137,0.9248975612039554,1,▲1,2026-09-21T22:42:37.946632+00:00
2,BUF,1645.499323744021,0.16172632593054553,0.03253815708365011,0.2522856928562912,0.791065782916419,-1,▼1,2026-09-21T22:42:37.946632+00:00
3,SF,1604.9228639021815,0.1239701120599895,-0.008011549407063986,0.2942892580959256,0.7662991611859854,0,→,2026-09-21T22:42:37.946632+00:00
4,MIN,1601.9672128447646,-0.03744301413652674,-0.12179449153823053,-0.13716411422108135,0.7734330511794363,1,▲1,2026-09-21T22:42:37.946632+00:00
5,DEN,1598.578576373478,-0.004055962280865671,-0.030797089355102794,0.04275544672404488,0.7549609826590161,2,▲2,2026-09-21T22:42:37.946632+00:00
6,PHI,1588.1413497710996,0.027422088909743257,-0.03517089539652617,0.09649118143603615,0.704567037915559,0,→,2026-09-21T22:42:37.946632+00:00
7,NE,1577.4097671973327,0.08774426865783824,-0.07957101806741038,0.20093814681488614,0.7530283954621182,4,▲4,2026-09-21T22:42:37.946632+00:00
8,LA,1567.0158631695447,0.06319807782116452,0.009429005429283053,0.12863097008046132,0.5440589431104508,2,▲2,2026-09-21T22:42:37.946632+00:00
9,JAX,1564.4689475603575,0.10340193909085636,-0.0734488416534601,0.20314057448424686,0.7388315919840415,-5,▼5,2026-09-21T22:42:37.946632+00:00
10,DET,1552.2179233774573,0.06074408058944361,0.0707530413619776,0.17671605366571444,0.47317563359003356,2,▲2,2026-09-21T22:42:37.946632+00:00
11,KC,1544.7943789424542,-0.0036443612406738685,-0.016834383568151312,-0.07768226301463202,0.4427335872550565,4,▲4,2026-09-21T22:42:37.946632+00:00
12,BAL,1544.7524531386323,0.07594086700005542,0.016228836643160004,0.1180999810346212,0.4832145459524815,-3,▼3,2026-09-21T22:42:37.946632+00:00
13,HOU,1543.4085397838337,-0.01744682352522,-0.04228873595124898,0.00630480265106809,0.6296704057494432,-5,▼5,2026-09-21T22:42:37.946632+00:00
14,CIN,1530.8149955090573,0.03757927590231081,-0.004489216570832143,0.01747969217124514,0.5670403416639807,4,▲4,2026-09-21T22:42:37.946632+00:00
15,GB,1530.3450899051852,0.023894252645320715,0.05375147878797558,0.049505822753614676,0.4278542275195276,1,▲1,2026-09-21T22:42:37.946632+00:00
16,CHI,1527.5496816978543,0.08065778814782974,0.03275686605118342,0.10044841744366215,0.5201714314039665,-3,▼3,2026-09-21T22:42:37.946632+00:00
17,PIT,1522.2896809015251,-0.05861626524071847,-0.038129063627728416,-0.10177761562431868,0.5632337279128932,-3,▼3,2026-09-21T22:42:37.946632+00:00
18,LAC,1471.3212891283813,-0.10012922313755179,-0.05501193332794781,-0.08241895215200586,0.4159571127354364,-1,▼1,2026-09-21T22:42:37.946632+00:00
19,DAL,1461.197404853616,0.10885888043614148,0.14093124461936238,0.1902573706365708,0.4311385335023412,4,▲4,2026-09-21T22:42:37.946632+00:00
20,NO,1456.4026700954325,-0.025965114250172543,-0.04506069679779406,0.044886655222303125,0.5048809289847649,5,▲5,2026-09-21T22:42:37.946632+00:00
21,TB,1447.466849059411,-0.0028992196837952138,0.035465107999974106,-0.0734113365544455,0.27463610931607263,-2,▼2,2026-09-21T22:42:37.946632+00:00
22,CAR,1441.1704540990975,-0.019162070304057404,0.013361892712133575,0.04782382833818901,0.4382863726676661,7,▲7,2026-09-21T22:42:37.946632+00:00
23,NYG,1434.6101300783514,0.06231903496003918,0.05345624076899834,0.07054317753097926,0.4328557472110316,1,▲1,2026-09-21T22:42:37.946632+00:00
24,IND,1430.1961327662239,0.027618639917227853,0.09320282404614406,-0.060269632263131825,0.16674831556813216,-2,▼2,2026-09-21T22:42:37.946632+00:00
25,CLE,1421.7451909037636,-0.12315604274072832,-0.030258368308910197,-0.21547682411804975,0.43041649052351105,3,▲3,2026-09-21T22:42:37.946632+00:00
26,WAS,1418.9302056205522,0.014391253995634304,0.11462599975333229,0.01619696663023057,0.24313370951177532,-5,▼5,2026-09-21T22:42:37.946632+00:00
27,LV,1411.0654528397731,-0.13834949739276212,-0.0562125665194318,-0.1428440864098513,0.4257316944009898,4,▲4,2026-09-21T22:42:37.946632+00:00
28,MIA,1410.1930156023063,-0.04563927770971139,0.09124917808598881,-0.014108461081434712,0.3345397162886318,-1,▼1,2026-09-21T22:42:37.946632+00:00
29,ARI,1409.0621851272863,-0.047101764601268276,0.10021406236885733,-0.010421247147748544,0.190513707011523,-3,▼3,2026-09-21T22:42:37.946632+00:00
30,ATL,1408.596260324171,-0.12190744584360115,-0.019407982841439592,-0.17066705905508034,0.4413062490309822,-10,▼10,2026-09-21T22:42:37.946632+00:00
31,NYJ,1375.2726914890868,-0.0788438496859717,0.08591818890527786,-0.1200472236036137,0.2456833673962637,-1,▼1,2026-09-21T22:42:37.946632+00:00
32,TEN,1308.676843496077,-0.08137872312649753,0.0792371553359473,-0.16841859171366055,0.15631891136671233,0,→,2026-09-21T22:42:37.946632+00:00
