dimension,bucket,candidate,null,n,candidate_cpl_log_loss,null_cpl_log_loss,delta
spread_bucket,3.5 < |spread| <= 6.5,fst_iproj,marketml_iproj,260,0.73879531760167583,0.73675965274332023,0.0020356648583556001
spread_bucket,|spread| <= 2,fst_iproj,marketml_iproj,142,0.70173326909701883,0.70710117347840096,-0.0053679043813819223
spread_bucket,2 < |spread| <= 3.5,fst_iproj,marketml_iproj,409,0.81334713217375454,0.81192241417605227,0.0014247179977022869
spread_bucket,6.5 < |spread| <= 7.5,fst_iproj,marketml_iproj,103,0.75996344140810379,0.75486882681423773,0.0050946145938656814
spread_bucket,|spread| > 7.5,fst_iproj,marketml_iproj,173,0.77090803813113962,0.77030257546829228,0.00060546266284728224
key_bucket,near_7,fst_iproj,marketml_iproj,159,0.73864210983353829,0.73404140014667763,0.0046007096868606739
key_bucket,other,fst_iproj,marketml_iproj,519,0.74360719920308604,0.74425265595713974,-0.00064545675405371691
key_bucket,near_3,fst_iproj,marketml_iproj,409,0.81334713217375454,0.81192241417605227,0.0014247179977022869
delta_bucket,"(0.1, 0.2]",fst_iproj,marketml_iproj,483,0.79091562661211345,0.79091007521579149,5.5513963219100772e-06
delta_bucket,"(0.2, 0.4]",fst_iproj,marketml_iproj,76,0.71949480290310486,0.71002677823922777,0.0094680246638771063
delta_bucket,"(-0.001, 0.05]",fst_iproj,marketml_iproj,245,0.75208200633359756,0.75167391721578924,0.00040808911780840332
delta_bucket,"(0.05, 0.1]",fst_iproj,marketml_iproj,283,0.76000446884445849,0.75944970766715814,0.00055476117730036045
spread_bucket,3.5 < |spread| <= 6.5,fst_meanfix,marketml_meanfix,260,0.7386751271195946,0.73779205488091437,0.00088307223868018005
spread_bucket,|spread| <= 2,fst_meanfix,marketml_meanfix,142,0.70187752357648248,0.70653048774434968,-0.0046529641678670769
spread_bucket,2 < |spread| <= 3.5,fst_meanfix,marketml_meanfix,409,0.81375045338955176,0.81190164223885042,0.0018488111507014504
spread_bucket,6.5 < |spread| <= 7.5,fst_meanfix,marketml_meanfix,103,0.74929329989435378,0.74991343237499797,-0.00062013248064465972
spread_bucket,|spread| > 7.5,fst_meanfix,marketml_meanfix,173,0.77547655959265127,0.77511620715230622,0.00036035244034489562
key_bucket,near_7,fst_meanfix,marketml_meanfix,159,0.73160217353811086,0.73195755611863644,-0.00035538258052557049
key_bucket,other,fst_meanfix,marketml_meanfix,519,0.74514845954728814,0.74587321672031981,-0.00072475717303168666
key_bucket,near_3,fst_meanfix,marketml_meanfix,409,0.81375045338955176,0.81190164223885042,0.0018488111507014504
delta_bucket,"(0.1, 0.2]",fst_meanfix,marketml_meanfix,483,0.79059273020903853,0.79102613051035575,-0.00043340030131729703
delta_bucket,"(0.2, 0.4]",fst_meanfix,marketml_meanfix,76,0.71584049854934573,0.71121926635748856,0.0046212321918570626
delta_bucket,"(-0.001, 0.05]",fst_meanfix,marketml_meanfix,245,0.75504682919825183,0.75473061304982847,0.0003162161484234656
delta_bucket,"(0.05, 0.1]",fst_meanfix,marketml_meanfix,283,0.75842435264890928,0.75805631483929348,0.00036803780961572693
spread_bucket,3.5 < |spread| <= 6.5,cpl_offset,kmass_market,260,0.73906221564645525,0.73814645143347457,0.00091576421298072421
spread_bucket,|spread| <= 2,cpl_offset,kmass_market,142,0.7037082660319508,0.70670454055068643,-0.0029962745187357264
spread_bucket,2 < |spread| <= 3.5,cpl_offset,kmass_market,409,0.81559511608327562,0.81520838780859806,0.00038672827467736861
spread_bucket,6.5 < |spread| <= 7.5,cpl_offset,kmass_market,103,0.75289215711488289,0.7481283392195196,0.004763817895363137
spread_bucket,|spread| > 7.5,cpl_offset,kmass_market,173,0.77325295113634918,0.77354711312080959,-0.00029416198446010456
key_bucket,near_7,cpl_offset,kmass_market,159,0.73561274109570318,0.73127294963602441,0.004339791459678847
key_bucket,other,cpl_offset,kmass_market,519,0.74458762377614629,0.74543081435122072,-0.00084319057507440548
key_bucket,near_3,cpl_offset,kmass_market,409,0.81559511608327562,0.81520838780859806,0.00038672827467736861
delta_bucket,"(0.1, 0.2]",cpl_offset,kmass_market,483,0.79267268890897535,0.79320377251278995,-0.00053108360381445808
delta_bucket,"(0.2, 0.4]",cpl_offset,kmass_market,76,0.71577368808256581,0.71116539471440599,0.0046082933681594867
delta_bucket,"(-0.001, 0.05]",cpl_offset,kmass_market,245,0.7537927029677961,0.75347659220490093,0.00031611076289523866
delta_bucket,"(0.05, 0.1]",cpl_offset,kmass_market,283,0.75986884730627646,0.75902284467121883,0.00084600263505757152
