q_team,q_qb,lambda,alpha,inner_seasons,mean_primary_score,score_2019,score_2020,score_2021,outer_season,score_2022,score_2023,score_2024
0.04,0.1,0.5,10.0,"2019,2020,2021",0.7600654719028329,0.819604299373767,0.711711445848975,0.7488806704857567,2022,,,
0.04,0.1,0.5,100.0,"2019,2020,2021",0.7599433583732725,0.8194033932519333,0.7115322148094742,0.7488944670584102,2022,,,
0.04,0.1,0.75,10.0,"2019,2020,2021",0.7597196187032701,0.8194431128446317,0.7110866555466626,0.748629087718516,2022,,,
0.04,0.1,0.75,100.0,"2019,2020,2021",0.759647351669611,0.8192841864216569,0.7109851407297884,0.7486727278573879,2022,,,
0.04,0.25,0.5,10.0,"2019,2020,2021",0.759767289930617,0.8195270690417669,0.711064265594893,0.7487105351551913,2022,,,
0.04,0.25,0.5,100.0,"2019,2020,2021",0.7597343116049737,0.8194299331002665,0.7109827305103483,0.7487902712043062,2022,,,
0.04,0.25,0.75,10.0,"2019,2020,2021",0.759459082304657,0.8192735519724309,0.7106374881114111,0.7484662068301288,2022,,,
0.04,0.25,0.75,100.0,"2019,2020,2021",0.7594492158141238,0.8192019515194688,0.710587431633849,0.7485582642890537,2022,,,
0.04,0.5,0.5,10.0,"2019,2020,2021",0.759427739100189,0.8191950528603054,0.7106468053878605,0.7484413590524008,2022,,,
0.04,0.5,0.5,100.0,"2019,2020,2021",0.759443597085412,0.8191768666538872,0.7105904149710489,0.7485635096312997,2022,,,
0.04,0.5,0.75,10.0,"2019,2020,2021",0.7591348323889643,0.8189196418332972,0.7103110689243933,0.7481737864092023,2022,,,
0.04,0.5,0.75,100.0,"2019,2020,2021",0.7591620316194408,0.8189135854515406,0.7102725224527816,0.7482999869540005,2022,,,
0.1,0.1,0.5,10.0,"2019,2020,2021",0.7604937205413211,0.8201066304152014,0.7118307275626706,0.7495438036460913,2022,,,
0.1,0.1,0.5,100.0,"2019,2020,2021",0.7602760395786273,0.8197984284437554,0.7115662160132761,0.7494634742788504,2022,,,
0.1,0.1,0.75,10.0,"2019,2020,2021",0.7601636944364554,0.8200203166551496,0.7111515319662917,0.7493192346879249,2022,,,
0.1,0.1,0.75,100.0,"2019,2020,2021",0.7600036264414506,0.8197493600564192,0.7109824594591948,0.7492790598087382,2022,,,
0.1,0.25,0.5,10.0,"2019,2020,2021",0.7601979975613267,0.8201244538256409,0.711024146659742,0.7494453921985972,2022,,,
0.1,0.25,0.5,100.0,"2019,2020,2021",0.760085038102183,0.819913913589652,0.7109142632584668,0.7494269374584303,2022,,,
0.1,0.25,0.75,10.0,"2019,2020,2021",0.7598988947413291,0.819912901159448,0.7105514484130475,0.7492323346514917,2022,,,
0.1,0.25,0.75,100.0,"2019,2020,2021",0.7598174519856192,0.8197329080311464,0.7104816994355463,0.7492377484901652,2022,,,
0.1,0.5,0.5,10.0,"2019,2020,2021",0.7598137710872352,0.8197805023380321,0.7104789261764146,0.7491818847472589,2022,,,
0.1,0.5,0.5,100.0,"2019,2020,2021",0.7597694151038499,0.8196649548006509,0.7104309149785695,0.7492123755323291,2022,,,
0.1,0.5,0.75,10.0,"2019,2020,2021",0.7595246659599294,0.8195315408652879,0.7100998042800784,0.748942652734422,2022,,,
0.1,0.5,0.75,100.0,"2019,2020,2021",0.7594996249538012,0.8194362337093664,0.7100728847625845,0.748989756389453,2022,,,
0.25,0.1,0.5,10.0,"2019,2020,2021",0.7609032385167557,0.8204903663414105,0.7121815461352449,0.750037803073612,2022,,,
0.25,0.1,0.5,100.0,"2019,2020,2021",0.7606008932084021,0.8201070631543926,0.7117873093857472,0.7499083070850662,2022,,,
0.25,0.1,0.75,10.0,"2019,2020,2021",0.7606001917807886,0.8204680886924438,0.7114913208886124,0.7498411657613095,2022,,,
0.25,0.1,0.75,100.0,"2019,2020,2021",0.760358349851017,0.8201172790088896,0.7112066619489877,0.7497511085951736,2022,,,
0.25,0.25,0.5,10.0,"2019,2020,2021",0.760675969529327,0.8206739333063222,0.7112389370309475,0.7501150382507112,2022,,,
0.25,0.25,0.5,100.0,"2019,2020,2021",0.7604793057029876,0.8203664509853258,0.7110464384424926,0.7500250276811444,2022,,,
0.25,0.25,0.75,10.0,"2019,2020,2021",0.7604006465586132,0.8204974230965895,0.7107629120653627,0.7499416045138874,2022,,,
0.25,0.25,0.75,100.0,"2019,2020,2021",0.7602388023817888,0.8202217152385443,0.7106188363133259,0.7498758555934963,2022,,,
0.25,0.5,0.5,10.0,"2019,2020,2021",0.7602799783636699,0.8203687052079971,0.7105336315898407,0.7499375982931719,2022,,,
0.25,0.5,0.5,100.0,"2019,2020,2021",0.7601663557852296,0.820162027523141,0.7104439838520362,0.7498930559805117,2022,,,
0.25,0.5,0.75,10.0,"2019,2020,2021",0.7600108473578464,0.8201389862297446,0.7101540420760047,0.7497395137677898,2022,,,
0.25,0.5,0.75,100.0,"2019,2020,2021",0.7599196482331626,0.819956020043465,0.7100900261078805,0.7497128985481423,2022,,,
0.04,0.1,0.5,10.0,"2020,2021,2022",0.758029005510278,,0.711711445848975,0.7488806704857567,2023,0.813494900196102,,
0.04,0.1,0.5,100.0,"2020,2021,2022",0.7579268364992519,,0.7115322148094742,0.7488944670584102,2023,0.8133538276298712,,
0.04,0.1,0.75,10.0,"2020,2021,2022",0.757787075455934,,0.7110866555466626,0.748629087718516,2023,0.8136454831026239,,
0.04,0.1,0.75,100.0,"2020,2021,2022",0.7577185492245319,,0.7109851407297884,0.7486727278573879,2023,0.8134977790864194,,
0.04,0.25,0.5,10.0,"2020,2021,2022",0.7577725771639714,,0.711064265594893,0.7487105351551913,2023,0.8135429307418297,,
0.04,0.25,0.5,100.0,"2020,2021,2022",0.7577162622266447,,0.7109827305103483,0.7487902712043062,2023,0.8133757849652797,,
0.04,0.25,0.75,10.0,"2020,2021,2022",0.7576034249528298,,0.7106374881114111,0.7484662068301288,2023,0.8137065799169497,,
0.04,0.25,0.75,100.0,"2020,2021,2022",0.7575604880712371,,0.710587431633849,0.7485582642890537,2023,0.8135357682908089,,
0.04,0.5,0.5,10.0,"2020,2021,2022",0.7575531971697034,,0.7106468053878605,0.7484413590524008,2023,0.8135714270688487,,
0.04,0.5,0.5,100.0,"2020,2021,2022",0.757514165465266,,0.7105904149710489,0.7485635096312997,2023,0.8133885717934494,,
0.04,0.5,0.75,10.0,"2020,2021,2022",0.7574077656059273,,0.7103110689243933,0.7481737864092023,2023,0.8137384414841862,,
0.04,0.5,0.75,100.0,"2020,2021,2022",0.7573758675828791,,0.7102725224527816,0.7482999869540005,2023,0.8135550933418554,,
0.1,0.1,0.5,10.0,"2020,2021,2022",0.7580364198139432,,0.7118307275626706,0.7495438036460913,2023,0.8127347282330676,,
0.1,0.1,0.5,100.0,"2020,2021,2022",0.7579043253788534,,0.7115662160132761,0.7494634742788504,2023,0.8126832858444338,,
0.1,0.1,0.75,10.0,"2020,2021,2022",0.7577317790322216,,0.7111515319662917,0.7493192346879249,2023,0.8127245704424481,,
0.1,0.1,0.75,100.0,"2020,2021,2022",0.7576441540784309,,0.7109824594591948,0.7492790598087382,2023,0.8126709429673598,,
0.1,0.25,0.5,10.0,"2020,2021,2022",0.7577359198052047,,0.711024146659742,0.7494453921985972,2023,0.8127382205572753,,
0.1,0.25,0.5,100.0,"2020,2021,2022",0.7576711749304602,,0.7109142632584668,0.7494269374584303,2023,0.8126723240744836,,
0.1,0.25,0.75,10.0,"2020,2021,2022",0.757509689001222,,0.7105514484130475,0.7492323346514917,2023,0.8127452839391266,,
