variant,nu,lambda_scale,lambda_key,inner_seasons,mean_primary_score,score_2019,score_2020,score_2021,outer_season,score_2022,score_2023,score_2024
CONDITIONAL_SCALE_NO_KEY,4,1.0,10.0,"2019,2020,2021",4.010259620359695,4.010248623791645,3.9661485666795944,4.054381670607844,2022,,,
CONDITIONAL_SCALE_NO_KEY,4,10.0,10.0,"2019,2020,2021",4.010247744624977,4.010125428541595,3.9661188121781397,4.054498993155197,2022,,,
CONDITIONAL_SCALE_NO_KEY,6,1.0,10.0,"2019,2020,2021",4.00153898047035,4.0004415153836135,3.959579640179667,4.04459578584777,2022,,,
CONDITIONAL_SCALE_NO_KEY,6,10.0,10.0,"2019,2020,2021",4.001524626912445,4.000297220402407,3.9595680484277462,4.044708611907184,2022,,,
CONDITIONAL_SCALE_NO_KEY,10,1.0,10.0,"2019,2020,2021",3.9974857849179437,3.9952193686498676,3.958128047866549,4.039109938237414,2022,,,
CONDITIONAL_SCALE_NO_KEY,10,10.0,10.0,"2019,2020,2021",3.9974614902194165,3.9950387310079587,3.958135899582718,4.039209840067572,2022,,,
CONDITIONAL_SCALE_NO_KEY,30,1.0,10.0,"2019,2020,2021",3.9972878007963737,3.9935564824613707,3.962002230400121,4.036304689527631,2022,,,
CONDITIONAL_SCALE_NO_KEY,30,10.0,10.0,"2019,2020,2021",3.997233000032209,3.9933112781611344,3.962022752877848,4.036364969057644,2022,,,
CONDITIONAL_SCALE_NO_KEY,4,1.0,10.0,"2020,2021,2022",3.9628260571430123,,3.9661485666795944,4.054381670607844,2023,3.8679479341415983,,
CONDITIONAL_SCALE_NO_KEY,4,10.0,10.0,"2020,2021,2022",3.9629023371203655,,3.9661188121781397,4.054498993155197,2023,3.868089206027759,,
CONDITIONAL_SCALE_NO_KEY,6,1.0,10.0,"2020,2021,2022",3.9560441290586916,,3.959579640179667,4.04459578584777,2023,3.8639569611486375,,
CONDITIONAL_SCALE_NO_KEY,6,10.0,10.0,"2020,2021,2022",3.9561241594525143,,3.9595680484277462,4.044708611907184,2023,3.8640958180226117,,
CONDITIONAL_SCALE_NO_KEY,10,1.0,10.0,"2020,2021,2022",3.9539619491931894,,3.958128047866549,4.039109938237414,2023,3.864647861475606,,
CONDITIONAL_SCALE_NO_KEY,10,10.0,10.0,"2020,2021,2022",3.9540386535505263,,3.958135899582718,4.039209840067572,2023,3.864770221001289,,
CONDITIONAL_SCALE_NO_KEY,30,1.0,10.0,"2020,2021,2022",3.956240229119688,,3.962002230400121,4.036304689527631,2023,3.870413767431313,,
CONDITIONAL_SCALE_NO_KEY,30,10.0,10.0,"2020,2021,2022",3.9562958558669474,,3.962022752877848,4.036364969057644,2023,3.87049984566535,,
CONDITIONAL_SCALE_NO_KEY,4,1.0,10.0,"2021,2022,2023",3.9718642880042894,,,4.054381670607844,2024,3.8679479341415983,3.993263259263425,
CONDITIONAL_SCALE_NO_KEY,4,10.0,10.0,"2021,2022,2023",3.9719029315186467,,,4.054498993155197,2024,3.868089206027759,3.993120595372985,
CONDITIONAL_SCALE_NO_KEY,6,1.0,10.0,"2021,2022,2023",3.96526230092914,,,4.04459578584777,2024,3.8639569611486375,3.987234155791011,
CONDITIONAL_SCALE_NO_KEY,6,10.0,10.0,"2021,2022,2023",3.96530311393467,,,4.044708611907184,2024,3.8640958180226117,3.987104911874215,
CONDITIONAL_SCALE_NO_KEY,10,1.0,10.0,"2021,2022,2023",3.962963982994944,,,4.039109938237414,2024,3.864647861475606,3.985134149271812,
CONDITIONAL_SCALE_NO_KEY,10,10.0,10.0,"2021,2022,2023",3.963002726949476,,,4.039209840067572,2024,3.864770221001289,3.9850281197795683,
CONDITIONAL_SCALE_NO_KEY,30,1.0,10.0,"2021,2022,2023",3.96444238405923,,,4.036304689527631,2024,3.870413767431313,3.986608695218748,
CONDITIONAL_SCALE_NO_KEY,30,10.0,10.0,"2021,2022,2023",3.964469432149688,,,4.036364969057644,2024,3.87049984566535,3.9865434817260694,
CONDITIONAL_SCALE_NO_KEY,4,1.0,10.0,"2022,2023,2024",3.9412040620441977,,,,2025,3.8679479341415983,3.993263259263425,3.96240099272757
CONDITIONAL_SCALE_NO_KEY,4,10.0,10.0,"2022,2023,2024",3.941123159985139,,,,2025,3.868089206027759,3.993120595372985,3.9621596785546727
CONDITIONAL_SCALE_NO_KEY,6,1.0,10.0,"2022,2023,2024",3.9358492908388016,,,,2025,3.8639569611486375,3.987234155791011,3.956356755576756
CONDITIONAL_SCALE_NO_KEY,6,10.0,10.0,"2022,2023,2024",3.935786307905261,,,,2025,3.8640958180226117,3.987104911874215,3.956158193818958
CONDITIONAL_SCALE_NO_KEY,10,1.0,10.0,"2022,2023,2024",3.9345074765706083,,,,2025,3.864647861475606,3.985134149271812,3.9537404189644056
CONDITIONAL_SCALE_NO_KEY,10,10.0,10.0,"2022,2023,2024",3.93446566315084,,,,2025,3.864770221001289,3.9850281197795683,3.9535986486716617
CONDITIONAL_SCALE_NO_KEY,30,1.0,10.0,"2022,2023,2024",3.936938750986435,,,,2025,3.870413767431313,3.986608695218748,3.9537937903092435
CONDITIONAL_SCALE_NO_KEY,30,10.0,10.0,"2022,2023,2024",3.9369240665509135,,,,2025,3.87049984566535,3.9865434817260694,3.953728872261321
CONSTANT_SCALE_KEY,4,10.0,1.0,"2019,2020,2021",3.9403392858577804,3.940211617682012,3.8961776320212693,3.984628607870061,2022,,,
CONSTANT_SCALE_KEY,4,10.0,10.0,"2019,2020,2021",3.9422362972208327,3.9430796536768646,3.897610458516386,3.986018779469248,2022,,,
CONSTANT_SCALE_KEY,6,10.0,1.0,"2019,2020,2021",3.9309252695039105,3.9301326563119487,3.8888758596073636,3.973767292592419,2022,,,
CONSTANT_SCALE_KEY,6,10.0,10.0,"2019,2020,2021",3.932756067914886,3.932918549273838,3.8902473140365217,3.9751023404342987,2022,,,
CONSTANT_SCALE_KEY,10,10.0,1.0,"2019,2020,2021",3.925735898466981,3.9240819129330125,3.8862119698961015,3.9669138125718293,2022,,,
CONSTANT_SCALE_KEY,10,10.0,10.0,"2019,2020,2021",3.9274948313993163,3.926786571889002,3.8875171935171924,3.9681807287917534,2022,,,
CONSTANT_SCALE_KEY,30,10.0,1.0,"2019,2020,2021",3.9235605556382063,3.9206567806848938,3.8878258869845137,3.9621989992452114,2022,,,
CONSTANT_SCALE_KEY,30,10.0,10.0,"2019,2020,2021",3.9252199680311257,3.9232550805436333,3.8890517599514673,3.9633530635982757,2022,,,
