game_id,season,week,gameday,home_team,away_team,home_score,away_score,actual_margin,actual_total,expected_home_points,expected_away_points,expected_margin,expected_total,home_win_probability,home_score_variance,away_score_variance,margin_variance,total_variance,expected_home_drives,expected_away_drives,home_p_td,home_p_fg,away_p_td,away_p_fg,home_p10,home_p25,home_p50,home_p75,home_p90,away_p10,away_p25,away_p50,away_p75,away_p90,margin_p10,margin_p25,margin_p50,margin_p75,margin_p90,total_p10,total_p25,total_p50,total_p75,total_p90,home_crps,away_crps,margin_crps,total_crps,joint_energy_score,simulation_seed,candidate_id,outer_target_season,train_through_season,training_through_boundary,selected_drive_alpha,selected_outcome_c,source_contract_version,code_sha,config_sha,fallback_state,simulation_version,simulation_draws
2022_01_BAL_NYJ,2022,1,2022-09-11,NYJ,BAL,9.0,24.0,-15.0,33.0,20.007,28.392,-8.385,48.399,0.3125,132.25177617761776,184.87922392239224,296.6214371437144,337.64056305630567,11.313966836034453,11.241705268242145,0.18932339950170513,0.11962868821331091,0.26922152748958106,0.19279421086290435,7.0,12.0,19.0,27.0,35.0,12.0,19.0,27.0,37.0,47.0,-31.0,-20.0,-8.0,3.0,13.0,26.0,36.0,47.0,60.0,73.0,5.99539026,3.4543393999999994,5.0333779,8.474949279999999,7.460371639590518,2792825909,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_BUF_LA,2022,1,2022-09-08,LA,BUF,10.0,31.0,-21.0,41.0,24.5419,25.4279,-0.886,49.9698,0.48245,166.6519095809581,175.59556114611462,317.59876387638764,366.8961775777578,11.165268466995098,11.185920686322671,0.2469142295249547,0.13680576520275975,0.26073387073327303,0.12182971264742035,10.0,15.0,23.0,33.0,42.0,10.0,16.0,24.0,34.0,43.0,-23.0,-13.0,-1.0,11.0,21.0,27.0,37.0,48.0,62.0,75.0,8.270724950000002,4.44153383,12.474669259999999,5.62280322,10.056282416168006,3943198766,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_CLE_CAR,2022,1,2022-09-11,CAR,CLE,24.0,26.0,-2.0,50.0,22.04,20.4819,1.5581,42.5219,0.5368499999999999,142.6000600060006,131.84085647564757,253.30735512551257,295.5744778377838,11.128553591573906,11.213356133783833,0.21204786434398198,0.13646072220323727,0.19947305800014586,0.12104529349336075,7.0,13.0,21.0,29.0,38.0,7.0,13.0,20.0,27.0,35.0,-18.0,-9.0,1.0,12.0,21.0,22.0,30.0,41.0,53.0,65.0,3.08065866,4.12082765,3.93786349,5.73730975,5.589282717708885,2315523219,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_DEN_SEA,2022,1,2022-09-12,SEA,DEN,17.0,16.0,1.0,33.0,24.4487,18.5643,5.8844,43.013,0.64005,167.57912622262228,119.34620013001302,268.52828946894687,305.3223632363236,10.955723400114437,10.853565914580518,0.25114447856581196,0.133927685716528,0.17405410011978634,0.1399843622104377,9.0,15.0,23.0,32.0,41.0,6.0,10.0,17.0,25.0,34.0,-14.0,-5.0,6.0,17.0,27.0,21.0,30.0,42.0,54.0,66.0,4.19999187,2.63942227,4.2448665399999985,5.7976759000000015,5.503044166594153,467029253,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_GB_MIN,2022,1,2022-09-11,MIN,GB,23.0,7.0,16.0,30.0,24.8521,27.4122,-2.5601,52.2643,0.4371,167.5363792279228,182.34492565256525,321.2863166216622,378.4762931393139,11.097904876499555,11.033556191843521,0.24784872605995792,0.13806614613569282,0.27080180900233364,0.16615468373863607,10.0,16.0,24.0,33.0,42.0,10.0,17.0,26.0,36.0,45.0,-25.0,-14.0,-3.0,9.0,20.0,28.0,38.0,51.0,65.0,78.0,3.0188473699999996,13.10708038,11.309490270000001,13.06598991,13.110470568976037,3012684445,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_IND_HOU,2022,1,2022-09-11,HOU,IND,20.0,20.0,0.0,40.0,21.0094,27.8238,-6.8144,48.8332,0.3476,134.5913707770777,186.71202476247626,294.25517815781575,348.35161292129214,11.080637937279748,10.977347379094294,0.19350786864664757,0.1565450538104917,0.280881063527422,0.16171575916370973,7.0,13.0,20.0,28.0,37.0,10.0,17.0,27.0,37.0,46.0,-28.0,-18.0,-7.0,4.0,15.0,26.0,36.0,47.0,61.0,74.0,2.6670925600000004,4.43621088,4.9612567,5.512712479999999,5.6765123140612594,2936870156,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_JAX_WAS,2022,1,2022-09-11,WAS,JAX,28.0,22.0,6.0,50.0,24.0732,18.6084,5.4648,42.6816,0.6332,156.63230499049905,121.23497293729375,266.0035613161316,289.73099453945395,10.91412601896362,10.937276116550162,0.22462161376678477,0.17310361486077575,0.17136150207658482,0.13430900740107132,9.0,15.0,23.0,32.0,41.0,6.0,10.0,17.0,25.25,34.0,-15.0,-5.0,6.0,16.0,26.0,22.0,30.0,41.0,54.0,65.0,3.73425386,3.35877202,3.72979052,5.6535829,5.303017603162401,1600790823,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_KC_ARI,2022,1,2022-09-11,ARI,KC,21.0,44.0,-23.0,65.0,25.3133,28.3911,-3.0778,53.7044,0.4274,175.78872198219824,186.02634342434243,337.2570728672867,386.3730579457946,10.65255281043931,10.64977353629452,0.27673038333246275,0.11665247650879557,0.29774058397954634,0.16621284456411842,10.0,16.0,24.0,34.0,43.0,12.900000000000091,19.0,27.0,37.0,47.0,-27.0,-15.0,-3.0,9.0,20.0,30.0,40.0,52.0,66.0,80.0,3.313320450000001,10.26751195,12.227562540000001,7.651367540000001,10.827258263513942,56066149,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_LV_LAC,2022,1,2022-09-11,LAC,LV,24.0,19.0,5.0,43.0,29.57,26.8139,2.7561,56.3839,0.5610999999999999,203.62786278627863,173.99446623662365,350.48106089608956,404.76359714971494,10.735952707137526,10.986880540520774,0.31352916375577605,0.16178248115559782,0.2516609008976953,0.20169328725384147,13.0,20.0,28.0,38.0,48.0,10.0,17.0,26.0,35.0,44.0,-21.0,-10.0,3.0,15.0,27.0,32.0,42.0,55.0,69.0,83.0,3.85037786,4.353618330000001,4.40447533,7.51409913,6.528657191237741,604504468,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_NE_MIA,2022,1,2022-09-11,MIA,NE,20.0,7.0,13.0,27.0,18.4934,28.1706,-9.6772,46.664,0.28485,120.52020846084609,192.12950859085907,290.8630864686469,334.4363476347635,11.074654082323958,11.052731955039462,0.18482501877170313,0.10233428260481013,0.2794417823013561,0.17260960947423418,6.0,10.0,17.0,25.0,34.0,11.0,17.0,27.0,37.0,47.0,-31.0,-21.0,-10.0,2.0,12.0,24.0,34.0,45.0,58.0,71.0,2.8044101800000005,13.6543798,14.44837572,11.25174454,13.668924107625669,505399054,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
