sample,arm,games,correct,accuracy,accuracy_delta_pp,changed_winners,changed_winner_rate,changed_winner_accuracy,candidate_only_correct,fst_only_correct,mcnemar_exact_two_sided_p,brier,brier_delta,log_loss,log_loss_delta
2022_2024,FST,815,562,0.6895705521472393,0.0,,,,,,,0.2103446151600874,0.0,0.6090773094628958,0.0
2022_2024,RAW_A0,815,513,0.6294478527607362,-6.012269938650306,,,,,,,0.22769508511305434,0.017350469952966935,0.6470631615866508,0.03798585212375494
2022_2024,RAW_B0,815,493,0.6049079754601226,-8.466257668711663,,,,,,,0.23296142204907974,0.02261680688899234,0.6579577390629153,0.04888042960001948
2022_2024,MARKET_BENCHMARK,815,559,0.6858895705521473,-0.36809815950920033,,,,,,,0.20973186227607057,-0.0006127528840168261,0.6074528112360199,-0.0016244982268759367
2022_2024,FST_PLUS_A0,815,562,0.6895705521472393,0.0,0.0,0.0,,0.0,0.0,,0.21034525526965953,6.401095721253469e-07,0.6090789444375755,1.6349746796429088e-06
2022_2024,FST_PLUS_B0,815,562,0.6895705521472393,0.0,0.0,0.0,,0.0,0.0,,0.21034729848725206,2.683327164659799e-06,0.6090836342375491,6.324774653232446e-06
2022_2024,FST_PLUS_A0_PLUS_B0,815,562,0.6895705521472393,0.0,0.0,0.0,,0.0,0.0,,0.2103479359664833,3.3208063958956036e-06,0.6090852652662851,7.955803389303462e-06
2022_2024,PRIMARY_COMPACT_FOOTBALL,815,562,0.6895705521472393,0.0,0.0,0.0,,0.0,0.0,,0.21035034140022688,5.726240139475314e-06,0.6090908296692031,1.352020630729367e-05
2022_2024,MARKET_AWARE_DIAGNOSTIC,815,562,0.6895705521472393,0.0,0.0,0.0,,0.0,0.0,,0.2103557113069868,1.109614689939753e-05,0.6091027526861619,2.5443223266030657e-05
2025_non_pristine,FST_PLUS_A0,272,179,0.6580882352941176,0.0,0.0,0.0,,0.0,0.0,,0.21158078474587136,2.3716553996244727e-06,0.607624427015136,4.5080804301766975e-06
2025_non_pristine,FST_PLUS_B0,272,179,0.6580882352941176,0.0,0.0,0.0,,0.0,0.0,,0.2115803784565463,1.9653660745522217e-06,0.6076239389703008,4.020035594964888e-06
2025_non_pristine,FST_PLUS_A0_PLUS_B0,272,179,0.6580882352941176,0.0,0.0,0.0,,0.0,0.0,,0.21158274034180774,4.327251336005977e-06,0.6076284285835002,8.509648794396973e-06
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,272,179,0.6580882352941176,0.0,0.0,0.0,,0.0,0.0,,0.21158158579850128,3.1727080295473886e-06,0.6076256597564821,5.740821776289984e-06
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,272,179,0.6580882352941176,0.0,0.0,0.0,,0.0,0.0,,0.21158174983491146,3.336744439724759e-06,0.6076259300464876,6.011111781778489e-06
2025_non_pristine,FST,272,179,0.6580882352941176,0.0,,,,,,,0.21157841309047173,0.0,0.6076199189347058,0.0
2025_non_pristine,RAW_A0,272,155,0.5698529411764706,-8.823529411764708,,,,,,,0.23439771389606617,0.02281930080559444,0.6602501001280308,0.052630181193324965
2025_non_pristine,RAW_B0,272,170,0.625,-3.308823529411764,,,,,,,0.2299698148345588,0.01839140174408707,0.6514868778524454,0.04386695891773962
2025_non_pristine,MARKET_BENCHMARK,272,179,0.6580882352941176,0.0,,,,,,,0.21159985695624273,2.1443865770992554e-05,0.6082296841116979,0.000609765176992072
