sample,arm,bin,lower,upper,games,mean_probability,home_win_rate
2022_2024,FST,0,0.0,0.1,1,0.06958592581651526,0.0
2022_2024,FST,1,0.1,0.2,25,0.1594263248480875,0.2
2022_2024,FST,2,0.2,0.30000000000000004,70,0.2546983789227335,0.2857142857142857
2022_2024,FST,3,0.30000000000000004,0.4,134,0.35603171027243785,0.30597014925373134
2022_2024,FST,4,0.4,0.5,109,0.44566871321054163,0.42201834862385323
2022_2024,FST,5,0.5,0.6000000000000001,189,0.5554364969424493,0.6455026455026455
2022_2024,FST,6,0.6000000000000001,0.7000000000000001,136,0.646146207992164,0.6764705882352942
2022_2024,FST,7,0.7000000000000001,0.8,109,0.7456828668870359,0.7706422018348624
2022_2024,FST,8,0.8,0.9,40,0.8523035168729958,0.875
2022_2024,FST,9,0.9,1.0,2,0.9270524199058092,1.0
2022_2024,RAW_A0,0,0.0,0.1,0,,
2022_2024,RAW_A0,1,0.1,0.2,0,,
2022_2024,RAW_A0,2,0.2,0.30000000000000004,8,0.2738747905483926,0.25
2022_2024,RAW_A0,3,0.30000000000000004,0.4,59,0.3736554528841376,0.3898305084745763
2022_2024,RAW_A0,4,0.4,0.5,175,0.4571805960500305,0.36
2022_2024,RAW_A0,5,0.5,0.6000000000000001,266,0.5499279670494851,0.5300751879699248
2022_2024,RAW_A0,6,0.6000000000000001,0.7000000000000001,221,0.644009822907721,0.6923076923076923
2022_2024,RAW_A0,7,0.7000000000000001,0.8,79,0.7330452059755248,0.759493670886076
2022_2024,RAW_A0,8,0.8,0.9,7,0.8291667683660441,0.7142857142857143
2022_2024,RAW_A0,9,0.9,1.0,0,,
2022_2024,RAW_B0,0,0.0,0.1,0,,
2022_2024,RAW_B0,1,0.1,0.2,0,,
2022_2024,RAW_B0,2,0.2,0.30000000000000004,10,0.27277,0.4
2022_2024,RAW_B0,3,0.30000000000000004,0.4,84,0.3610363095238095,0.36904761904761907
2022_2024,RAW_B0,4,0.4,0.5,224,0.45839174107142855,0.45089285714285715
