row_type,game_id,event_id,provider_commence_time_utc,provider_kickoff_delta_minutes,home_team,away_team,kickoff_timestamp_utc,horizon,target_timestamp_utc,request_timestamp_utc,timing_error_minutes,sportsbook_key,sportsbook_title,sportsbook_last_update_utc,freshness_minutes,home_moneyline,away_moneyline,h2h_home_implied,h2h_away_implied,h2h_overround,h2h_home_no_vig,home_spread,home_spread_price,away_spread,away_spread_price,spread_overround,spread_home_cover_no_vig,total_points,over_price,under_price,total_overround,over_no_vig,research_only,production_authorized,market_provider,program_id,m1_role,completed_2026_outcomes_used,m1_complete_book,source_count,source_names,max_freshness_minutes,probability_range
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betmgm,BetMGM,2026-09-26T04:50:48.132627+00:00,6.25982785,-350.0,275.0,0.7777777777777778,0.26666666666666666,0.04444444444444451,0.7446808510638298,-7.0,-115.0,7.0,-105.0,0.04707884288145214,0.5108342361863488,50.0,-108.0,-110.0,0.04304029304029311,0.4978050921861282,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betonlineag,BetOnline.ag,2026-09-26T04:51:48.289118+00:00,5.257219666666667,-340.0,274.0,0.7727272727272727,0.26737967914438504,0.04010695187165769,0.7429305912596401,-7.5,-101.0,7.5,-119.0,0.04586655762284475,0.4804509318389157,50.0,-110.0,-110.0,0.04761904761904767,0.5,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betrivers,BetRivers,2026-09-26T04:51:02.636898+00:00,6.01809,-375.0,280.0,0.7894736842105263,0.2631578947368421,0.05263157894736836,0.75,-7.0,-112.0,7.0,-109.0,0.04983298727092178,0.5032246968784934,,,,,,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,False,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betus,BetUS,2026-09-26T04:51:46.692068+00:00,5.283837166666667,-340.0,275.0,0.7727272727272727,0.26666666666666666,0.039393939393939315,0.7434402332361516,-7.5,100.0,7.5,-120.0,0.045454545454545414,0.4782608695652174,50.0,-110.0,-110.0,0.04761904761904767,0.5,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betway,Betway,2026-09-26T04:52:04.447343+00:00,4.987915916666666,-350.0,275.0,0.7777777777777778,0.26666666666666666,0.04444444444444451,0.7446808510638298,-7.5,100.0,7.5,-120.0,0.045454545454545414,0.4782608695652174,50.5,-105.0,-115.0,0.04707884288145214,0.4891657638136511,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,bovada,Bovada,2026-09-26T04:50:31.168471+00:00,6.542563783333334,-340.0,270.0,0.7727272727272727,0.2702702702702703,0.0429975429975431,0.740871613663133,-7.0,-115.0,7.0,-105.0,0.04707884288145214,0.5108342361863488,50.0,-110.0,-110.0,0.04761904761904767,0.5,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,courtside,Courtside,2026-09-26T04:52:27.601414+00:00,4.602014733333333,-335.0,282.0,0.7701149425287356,0.2617801047120419,0.03189504724077752,0.7463113081005424,-7.0,-113.0,7.0,-103.0,0.03790559448645903,0.5111413164579527,50.5,100.0,-116.0,0.0370370370370372,0.48214285714285704,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,fanatics,Fanatics,2026-09-26T04:51:53.538869+00:00,5.169723816666666,-350.0,275.0,0.7777777777777778,0.26666666666666666,0.04444444444444451,0.7446808510638298,0.5,-375.0,-0.5,265.0,0.06344628695025234,0.7423728813559323,29.5,-2200.0,950.0,0.05175983436852993,0.9094488188976378,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,fanduel,FanDuel,2026-09-26T04:50:15.617588+00:00,6.801745166666667,-370.0,295.0,0.7872340425531915,0.25316455696202533,0.04039859951521674,0.7566658037794461,-7.5,-102.0,7.5,-120.0,0.05040504050405037,0.48071979434447304,50.5,-105.0,-115.0,0.04707884288145214,0.4891657638136511,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,hardrock,Hard Rock Bet,2026-09-26T04:52:10.660291+00:00,4.884366783333333,-350.0,275.0,0.7777777777777778,0.26666666666666666,0.04444444444444451,0.7446808510638298,-1.0,-350.0,1.0,260.0,0.05555555555555558,0.7368421052631579,26.5,-10000.0,2000.0,0.03771805752003776,0.9541117673784643,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,kalshi,Kalshi,2026-09-26T04:56:13.367839+00:00,0.8392409833333333,-317.0,300.0,0.7601918465227818,0.25,0.010191846522781933,0.7525222551928783,,,,,,,50.5,108.0,-113.0,0.011285662694113352,0.47540398178734045,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,False,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,lowvig,LowVig.ag,2026-09-26T04:51:49.159912+00:00,5.242706433333334,-340.0,274.0,0.7727272727272727,0.26737967914438504,0.04010695187165769,0.7429305912596401,-7.5,103.0,7.5,-114.0,0.025321117812255434,0.48044542229805576,50.0,-107.0,-107.0,0.033816425120772875,0.5,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,marathon,Marathon Bet,2026-09-26T04:52:04.132284+00:00,4.9931669,-450.0,315.0,0.8181818181818182,0.24096385542168675,0.05914567360350498,0.7724922440537746,-7.5,-108.0,7.5,-118.0,0.06051517290049402,0.4896023956080519,49.5,-124.0,-102.0,0.05852192362093356,0.5229664272590613,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,novig,Novig,2026-09-26T04:51:31.500413+00:00,5.537031416666666,-308.0,300.0,0.7549019607843137,0.25,0.004901960784313708,0.751219512195122,-3.5,-182.0,3.5,174.0,0.010353574571620783,0.6387764512988677,50.5,108.0,-111.0,0.006835581480131303,0.4775052050330406,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,onexbet,1xBet,2026-09-26T04:51:40.597320+00:00,5.3854163,-350.0,275.0,0.7777777777777778,0.26666666666666666,0.04444444444444451,0.7446808510638298,-7.5,100.0,7.5,-120.0,0.045454545454545414,0.4782608695652174,50.5,-105.0,-115.0,0.04707884288145214,0.4891657638136511,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,pinnacle,Pinnacle,2026-09-26T04:50:32.271523+00:00,6.524179583333334,-332.0,274.0,0.7685185185185185,0.26737967914438504,0.035898197662903586,0.741886143109794,-7.5,103.0,7.5,-116.0,0.02964787447546069,0.4784265083724639,50.0,-107.0,-107.0,0.033816425120772875,0.5,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,polymarket_us,Polymarket US,2026-09-26T04:51:47.841363+00:00,5.264682250000001,-308.0,300.0,0.7549019607843137,0.25,0.004901960784313708,0.751219512195122,1.5,-355.0,-1.5,344.0,0.00544500544500548,0.7759944860181174,,,1900.0,,,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,False,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,prophetx,ProphetX,2026-09-26T04:51:32.447854+00:00,5.521240733333333,-315.0,300.0,0.7590361445783133,0.25,0.009036144578313365,0.7522388059701491,-7.0,-112.0,7.0,107.0,0.011393674232066386,0.5223503965392934,49.5,-109.0,108.0,0.002300331247699683,0.5203341595520058,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,rebet,ReBet,2026-09-26T04:51:23.486721+00:00,5.67059295,-319.0,260.0,0.7613365155131265,0.2777777777777778,0.03911429329090432,0.732678320786015,-6.5,-133.0,6.5,100.0,0.07081545064377681,0.533066132264529,28.5,-124.0,-120.0,0.09902597402597402,0.5036927621861153,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
consensus,2026_03_LAC_BUF,32655,2026-09-27T17:00:00+00:00,0.0,BUF,LAC,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,sportsbook_consensus,Robust sportsbook consensus,,,,,,,,0.7446808510638298,-7.25,,,,,,50.0,,,,,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,16.0,betmgm|betonlineag|betus|betway|bovada|courtside|fanatics|fanduel|hardrock|lowvig|marathon|novig|onexbet|pinnacle|prophetx|rebet,6.801745166666667,0.039813923267759566
book,2026_03_CAR_CLE,32657,2026-09-27T17:00:00+00:00,0.0,CLE,CAR,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betmgm,BetMGM,2026-09-26T04:50:47.832642+00:00,6.2648276,115.0,-140.0,0.46511627906976744,0.5833333333333334,0.04844961240310086,0.44362292051756,2.5,-110.0,-2.5,-108.0,0.04304029304029311,0.5021949078138718,42.0,-110.0,-108.0,0.04304029304029311,0.5021949078138718,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_CAR_CLE,32657,2026-09-27T17:00:00+00:00,0.0,CLE,CAR,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betonlineag,BetOnline.ag,2026-09-26T04:51:48.185918+00:00,5.258939666666667,120.0,-140.0,0.45454545454545453,0.5833333333333334,0.037878787878787845,0.43795620437956206,2.0,-108.0,-2.0,-112.0,0.0475326560232221,0.4956702459300312,42.0,-115.0,-105.0,0.04707884288145214,0.5108342361863488,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_CAR_CLE,32657,2026-09-27T17:00:00+00:00,0.0,CLE,CAR,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betrivers,BetRivers,2026-09-26T04:51:03.230749+00:00,6.0081924833333336,125.0,-150.0,0.4444444444444444,0.6,0.04444444444444429,0.4255319148936171,2.5,-107.0,-2.5,-114.0,0.04961849293421805,0.49247247075017214,,,,,,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,False,,,,
book,2026_03_CAR_CLE,32657,2026-09-27T17:00:00+00:00,0.0,CLE,CAR,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betus,BetUS,2026-09-26T04:51:46.658684+00:00,5.284393566666666,120.0,-140.0,0.45454545454545453,0.5833333333333334,0.037878787878787845,0.43795620437956206,2.0,-105.0,-2.0,-115.0,0.04707884288145214,0.4891657638136511,42.5,-110.0,-110.0,0.04761904761904767,0.5,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
book,2026_03_CAR_CLE,32657,2026-09-27T17:00:00+00:00,0.0,CLE,CAR,2026-09-27T17:00:00+00:00,T-2160m,2026-09-26T05:00:00+00:00,2026-09-26T04:57:03.722298+00:00,-2.9379617000000002,betway,Betway,2026-09-26T04:52:04.541939+00:00,4.986339316666667,110.0,-135.0,0.47619047619047616,0.574468085106383,0.050658561296859084,0.4532304725168756,2.5,-110.0,-2.5,-110.0,0.04761904761904767,0.5,20.5,-105.0,-115.0,0.04707884288145214,0.4891657638136511,True,False,propline,FV2-PROS-M1-MARKETSTATE-01,predictor,0,True,,,,
